alpha,CL_ML,CD_ML,CM_ML,CL_CD_ML
0.0,0.8744021654129028,0.008027414791285992,-0.1880641132593155,108.92699432475989
0.25,0.8744021654129028,0.008027414791285992,-0.1880641132593155,108.92699432475989
0.5,0.988883912563324,0.007902209646999836,-0.18984825909137726,125.14017682873866
0.75,0.988883912563324,0.007902209646999836,-0.18984825909137726,125.14017682873866
1.0,0.988883912563324,0.007902209646999836,-0.18984825909137726,125.14017682873866
1.25,0.988883912563324,0.007902209646999836,-0.18984825909137726,125.14017682873866
1.5,1.1034659147262573,0.0078281220048666,-0.1889776885509491,140.96176759128852
1.75,1.1034659147262573,0.0078281220048666,-0.1889776885509491,140.96176759128852
2.0,1.1034659147262573,0.0078281220048666,-0.1889776885509491,140.96176759128852
2.25,1.1034659147262573,0.0078281220048666,-0.1889776885509491,140.96176759128852
2.5,1.2030253410339355,0.00796302780508995,-0.1863563358783722,151.07637075748553
2.75,1.2030253410339355,0.00796302780508995,-0.1863563358783722,151.07637075748553
3.0,1.2030253410339355,0.00796302780508995,-0.1863563358783722,151.07637075748553
3.25,1.2030253410339355,0.00796302780508995,-0.1863563358783722,151.07637075748553
3.5,1.3799083232879639,0.008570398204028606,-0.18267415463924408,161.00865915883855
3.75,1.3799083232879639,0.008570398204028606,-0.18267415463924408,161.00865915883855
4.0,1.3799083232879639,0.008570398204028606,-0.18267415463924408,161.00865915883855
4.25,1.3799083232879639,0.008570398204028606,-0.18267415463924408,161.00865915883855
4.5,1.507140040397644,0.010098719969391823,-0.17912667989730835,149.2407003031701
4.75,1.507140040397644,0.010098719969391823,-0.17912667989730835,149.2407003031701
5.0,1.507140040397644,0.010098719969391823,-0.17912667989730835,149.2407003031701
5.25,1.507140040397644,0.010098719969391823,-0.17912667989730835,149.2407003031701
5.5,1.6162625551223755,0.01173357293009758,-0.17540784180164337,137.7468367692614
5.75,1.6162625551223755,0.01173357293009758,-0.17540784180164337,137.7468367692614
6.0,1.6162625551223755,0.01173357293009758,-0.17540784180164337,137.7468367692614
6.25,1.6162625551223755,0.01173357293009758,-0.17540784180164337,137.7468367692614
6.5,1.6387451887130737,0.014170168898999691,-0.17160733044147491,115.64754099922952
6.75,1.6387451887130737,0.014170168898999691,-0.17160733044147491,115.64754099922952
7.0,1.6387451887130737,0.014170168898999691,-0.17160733044147491,115.64754099922952
7.25,1.6387451887130737,0.014170168898999691,-0.17160733044147491,115.64754099922952
7.5,1.6545604467391968,0.017186960205435753,-0.16877320408821106,96.26835850913915
7.75,1.6545604467391968,0.017186960205435753,-0.16877320408821106,96.26835850913915
8.0,1.6545604467391968,0.017186960205435753,-0.16877320408821106,96.26835850913915
8.25,1.6545604467391968,0.017186960205435753,-0.16877320408821106,96.26835850913915
8.5,1.6917641162872314,0.02057899720966816,-0.16380946338176727,82.20828736457716
8.75,1.6917641162872314,0.02057899720966816,-0.16380946338176727,82.20828736457716
9.0,1.6917641162872314,0.02057899720966816,-0.16380946338176727,82.20828736457716
9.25,1.6917641162872314,0.02057899720966816,-0.16380946338176727,82.20828736457716
9.5,1.7253142595291138,0.02460230514407158,-0.15240132808685303,70.12815463533354
9.75,1.7253142595291138,0.02460230514407158,-0.15240132808685303,70.12815463533354
10.0,1.7253142595291138,0.02460230514407158,-0.15240132808685303,70.12815463533354
10.25,1.7253142595291138,0.02460230514407158,-0.15240132808685303,70.12815463533354
10.5,1.7423228025436401,0.02863483317196369,-0.13928720355033875,60.84627041758165
10.75,1.7423228025436401,0.02863483317196369,-0.13928720355033875,60.84627041758165
11.0,1.7423228025436401,0.02863483317196369,-0.13928720355033875,60.84627041758165
11.25,1.7423228025436401,0.02863483317196369,-0.13928720355033875,60.84627041758165
11.5,1.7613862752914429,0.0334043987095356,-0.1299516260623932,52.72917170601962
11.75,1.7613862752914429,0.0334043987095356,-0.1299516260623932,52.72917170601962
12.0,1.7613862752914429,0.0334043987095356,-0.1299516260623932,52.72917170601962
