perfil,alpha,Re,real,previsto,erro,erro_absoluto
ag04,0.0,200000,-0.0378,-0.046626735,-0.008826735478639602,0.008826735478639602
ag04,1.0,200000,-0.042,-0.045668617,-0.003668616890907285,0.003668616890907285
ag04,2.0,200000,-0.0368,-0.043358896,-0.006558895927667618,0.006558895927667618
ag04,3.0,200000,-0.0337,-0.041208364,-0.007508364069461822,0.007508364069461822
ag04,4.0,200000,-0.0317,-0.03909098,-0.007390979844331742,0.007390979844331742
ag04,5.0,200000,-0.0303,-0.036869694,-0.006569693547487258,0.006569693547487258
ag04,6.0,200000,-0.029,-0.03528314,-0.006283140838146208,0.006283140838146208
ag04,7.0,200000,-0.0265,-0.033142705,-0.006642704516649247,0.006642704516649247
ag04,8.0,200000,-0.0226,-0.029382782,-0.006782782056927682,0.006782782056927682
ag04,9.0,200000,-0.0183,-0.02645099,-0.00815098976790905,0.00815098976790905
ag04,10.0,200000,-0.0139,-0.021740343,-0.007840343421697617,0.007840343421697617
ag04,11.0,200000,-0.0439,-0.029215524,0.014684476026892664,0.014684476026892664
ag04,12.0,200000,-0.0414,-0.036789093,0.004610906833410262,0.004610906833410262
ag04,0.0,250000,-0.0414,-0.046572633,-0.005172633087635041,0.005172633087635041
ag04,1.0,250000,-0.0395,-0.045614514,-0.006114514499902725,0.006114514499902725
ag04,2.0,250000,-0.0356,-0.043304794,-0.007704793536663056,0.007704793536663056
ag04,3.0,250000,-0.0333,-0.04136118,-0.008061179202795025,0.008061179202795025
ag04,4.0,250000,-0.0319,-0.039243795,-0.00734379497766495,0.00734379497766495
ag04,5.0,250000,-0.0308,-0.03702251,-0.006222508680820464,0.006222508680820464
ag04,6.0,250000,-0.0297,-0.03557299,-0.005872990775108337,0.005872990775108337
ag04,7.0,250000,-0.0276,-0.033432554,-0.005832554453611374,0.005832554453611374
ag04,8.0,250000,-0.024,-0.029672612,-0.005672611504793167,0.005672611504793167
ag04,9.0,250000,-0.019,-0.026641672,-0.007641672477126122,0.007641672477126122
ag04,10.0,250000,-0.0144,-0.021931024,-0.007531024268269539,0.007531024268269539
ag04,11.0,250000,-0.0328,-0.029406205,0.0033937951803207425,0.0033937951803207425
ag04,0.0,300000,-0.042,-0.046090495,-0.004090494841337201,0.004090494841337201
