candidate_id,Au0,Au1,Au2,Au3,Au4,Au5,Au6,Al0,Al1,Al2,Al3,Al4,Al5,Al6,Re,alpha_pred_opt,CL_pred_opt,CD_pred_opt,CM_pred_opt,CL_CD_pred_opt,distance_to_train,max_thickness,xfoil_converged,alpha_xfoil_opt,CL_xfoil_opt,CD_xfoil_opt,CM_xfoil_opt,CL_CD_xfoil_opt,n_xfoil_points,xfoil_polar_sufficient,alpha_pred_at_xfoil_opt,CL_pred_at_xfoil_opt,CD_pred_at_xfoil_opt,CM_pred_at_xfoil_opt,CL_CD_pred_at_xfoil_opt,delta_alpha_opt_deg,erro_CL_CD_max_pct,erro_CL_no_alpha_xfoil_pct,erro_CD_no_alpha_xfoil_pct
1,0.24379635240606642,0.2884994120070763,0.23074761200159352,0.20351588498230744,0.17498402044112057,0.35109429114393365,0.5629849619716909,-0.1100947160970421,0.04308553492758324,-0.0525741550964181,0.19384471617463556,-0.09093885375448113,0.10861728443478465,0.16592977348551258,250000.0,3.5,1.38078773021698,0.008574195206165314,-0.18291103839874268,161.03992235027707,2.324804337026422,0.09461246062671796,True,7.75,1.3633,0.01913,-0.1111,71.26502875065341,47,True,7.75,1.6561431884765625,0.016995234414935112,-0.16621093451976776,97.44750487355286,4.25,125.97327914331406,21.480465669813142,11.159255541374224
2,0.245428045859081,0.28824101817981307,0.22637202252817681,0.2074743182195082,0.18344491963727325,0.3424898180550026,0.561051141604099,-0.10928081875611384,0.028696321498904352,-0.052341284408801564,0.19369678249324154,-0.09355516575414638,0.10815813425042745,0.16623931931738847,250000.0,3.5,1.3791770935058594,0.008575031533837318,-0.18301180005073547,160.8363873722898,2.3300540735758877,0.09645015563115691,True,7.5,1.3367,0.01886,-0.1117,70.87486744432663,49,True,7.5,1.6543339490890503,0.01707693375647068,-0.1664089560508728,96.8753508493409,4.0,126.93007150754735,23.7625457536508,9.45422186388822
3,0.2497482165910903,0.287203574081664,0.22570177235372002,0.2400713853549153,0.17885426143130623,0.3397675365817183,0.5633050072481209,-0.11068264746976145,0.03488294100513462,-0.047247086840516005,0.1908030126816746,-0.09186943190916065,0.11055054582141842,0.16540734429021317,250000.0,3.5,1.3781955242156982,0.008570561185479164,-0.1830490380525589,160.8057505675045,2.3274245605938466,0.09641422825914993,True,7.25,1.313,0.0182,-0.1122,72.14285714285714,48,True,7.25,1.6380780935287476,0.014090741984546185,-0.1717374473810196,116.25208206390307,3.75,122.89906019258052,24.75842296487034,22.578340744251737
4,0.2475126675537762,0.2881671959202252,0.23043692798115345,0.20623675276115883,0.17653007195105125,0.3505058525212166,0.5633261060734557,-0.11153132799840793,0.042348840557731436,-0.0746161016608802,0.18748031757480194,-0.09176234017518098,0.10501543172235897,0.16477980004547693,250000.0,3.5,1.3777213096618652,0.008568452671170235,-0.18223091959953308,160.78997720293216,2.2691672982403324,0.09725276163387808,True,7.75,1.3535,0.01914,-0.1091,70.71577847439916,49,True,7.75,1.6514636278152466,0.016667935997247696,-0.16588321328163147,99.08027173178165,4.25,127.37496591533963,22.014305712245783,12.915694894212669
5,0.24258536327337596,0.28807953090427196,0.22883787461326816,0.23282051280363408,0.16649499351720407,0.3436290223315225,0.5514293173420759,-0.11399800990020198,0.03871986273345382,-0.038571920635042764,0.19248658631189677,-0.09348674861491056,0.11601228710146998,0.16438046353089056,250000.0,3.5,1.3793336153030396,0.008579320274293423,-0.18310756981372833,160.77423049888867,2.30906382650106,0.09488134555826994,True,7.5,1.3483,0.01841,-0.1136,73.23737099402499,49,True,7.5,1.6552817821502686,0.016894327476620674,-0.16601017117500305,97.97855430711527,4.0,119.5248522943366,22.768062163485016,8.232876281256518
6,0.2467619025778546,0.2883446427120728,0.218201174222253,0.19829476241331206,0.1752834637479807,0.33506394320027283,0.5617726414559344,-0.11764286178146416,0.031529116142026574,-0.051126921252822456,0.19060096883424987,-0.09287213003943472,0.11569074562733103,0.16485281999635124,250000.0,3.5,1.3773984909057617,0.008568122051656246,-0.18272939324378967,160.75850490942832,2.321116262726803,0.09613747473096682,True,7.5,1.3393,0.01906,-0.1117,70.26757607555089,49,True,7.5,1.65442955493927,0.017070025205612183,-0.16607311367988586,96.92015887564925,4.0,128.78049007494243,23.529422454959317,10.440581292695791
7,0.2444632481979491,0.28721021244431916,0.21324906665926024,0.15362913877910359,0.18202972844277565,0.3525768063507132,0.5577815104407203,-0.11224992689691886,0.043377009700115585,-0.07297604504225383,0.1850579664641417,-0.0930244711443911,0.10085074278984357,0.16364969962016812,250000.0,3.5,1.3775995969772339,0.008570423349738121,-0.18241065740585327,160.73880376274855,2.325048225787193,0.0939690512953107,True,8.75,1.4318,0.0211,-0.102,67.85781990521326,49,True,8.75,1.6876667737960815,0.019771212711930275,-0.1593252420425415,85.3598005537473,5.25,136.87587368305591,17.87028731639067,6.29757008563851
8,0.24495084587845162,0.2878537408322275,0.2264161755842321,0.2435740422434547,0.16755401620027954,0.336670732610555,0.5635382518558117,-0.11164841279771627,0.04462929029285558,-0.040690698820892164,0.1884263472723248,-0.09489354946973826,0.10502433469901958,0.16570406554777303,250000.0,3.5,1.3783193826675415,0.008575626648962498,-0.18285931646823883,160.7252086743182,2.307063484301121,0.09438883129882839,True,6.75,1.2722,0.01739,-0.1144,73.15698677400805,49,True,6.75,1.6384987831115723,0.014021413400769234,-0.17136918008327484,116.85689140452003,3.25,119.69905508932507,28.79254701395789,19.370825757508715
9,0.24821641196770977,0.2871611299701773,0.2298179110957688,0.20135917990471955,0.1847900502829442,0.35573904552451246,0.5583582580940503,-0.11078202598513011,0.042590471282107877,-0.0860965255053471,0.19029060896210126,-0.09176869452994658,0.10348219476984684,0.16548923495879786,250000.0,3.5,1.3771322965621948,0.008568452671170235,-0.18231776356697083,160.72123514152682,2.2470582928190437,0.09784211882988615,True,7.5,1.3269,0.01893,-0.11,70.09508716323296,49,True,7.5,1.6504548788070679,0.016667935997247696,-0.16568315029144287,99.01975140050936,4.0,129.29029928623882,24.38427001334448,11.94962494850662
10,0.2445423213683053,0.2867931313548972,0.22610221276949813,0.19332292885773644,0.17282688539337832,0.30906528152190205,0.5561614111226137,-0.10835308492613646,0.03814816701304121,-0.04774549721931135,0.18445181341560782,-0.09443065809627037,0.10777294237636095,0.16519123185235074,250000.0,3.5,1.3774638175964355,0.008571263402700424,-0.18158401548862457,160.70720883020093,2.255924294924804,0.09417053584590081,True,7.5,1.3491,0.01872,-0.1108,72.0673076923077,49,True,7.5,1.654707431793213,0.01721743680536747,-0.16569863259792328,96.1064907917864,4.0,122.99599357359433,22.652689333126744,8.026512791840442
